"anho","semana","id_provincia","provincia","personal_tecnicos","personal_brigadas","personal_fuerzas_orden","personal_otros","medios_autobomba","medios_bulldozer","medios_tractores","medios_otros","aereos_aviones_anfibios","aereos_aviones_carga","aereos_helicopteros_exticion","aereos_helicopteros_transporte","total","totalar","totalnar","supernf","num_incendios","dist_1_nearest_buildup","dist_10_nearest_buildup","dir","prec","sol","tmax","tmed","tmin","velmedia","hrmedia","domain"
2007,27,2,"ALBACETE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0.05,12.84,33.44,24.98,16.5,3.2,40,"27:2"
2007,27,3,"ALICANTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.51,0.23,10.59,29.2,23.94,18.66,3.05,56,"27:3"
2007,27,4,"ALMERIA",5.83,39.5,3.33,0,2.67,0,0,0,0,0.67,0,2,34.56,0.93,33.2,0.43,4,2882.55,5028.35,15.17,0,12.46,29.01,24.65,20.58,3.37,67,"27:4"
2007,27,5,"AVILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.55,0.33,11.14,28.2,20.4,12.6,2.45,45,"27:5"
2007,27,6,"BADAJOZ",2.2,13.56,4.2,3.49,2.92,0.1,0.92,0.34,0,0,0.34,0.59,266.55,131,32.05,103.5,13,2339.6,4929.64,21.46,0.1,13.17,34.7,26.12,17.53,2.66,43,"27:6"
2007,27,8,"BARCELONA",5.8,68.22,11.3,21.36,21.6,2.1,5.2,0.9,0.1,1.32,2.64,0.2,212.8,173.77,15.67,23.36,12,813.16,1735.58,19.15,1.6,9.29,26.65,22.33,18.01,3.47,58,"27:8"
2007,27,9,"BURGOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,6.3,10.01,25.71,17.44,9.17,3.69,53.5,"27:9"
2007,27,10,"CACERES",2.35,10.95,1.1,5.55,1.95,0.1,3.15,0,0,0,0.2,0.45,84.5,0.2,65.3,19,8,1621.41,5044.79,22.92,0,13.64,33.13,25.28,17.44,3.05,36.5,"27:10"
2007,27,11,"CADIZ",12.5,14.5,4,2.5,3.5,0,0.5,0,0,0,0,0.5,27.45,2,4.65,20.8,2,799.29,2872.7,19.46,0,13.21,29.23,24.21,19.2,4.83,58,"27:11"
2007,27,12,"CASTELLON",22.17,20.17,8.5,1.67,4.5,0,0,0,0.67,1.33,0.67,1.17,3.5,2,0.65,0.85,4,298.91,1716.88,17.79,0.03,12.83,28.66,23.08,17.5,3.12,51,"27:12"
2007,27,13,"CIUDAD REAL",4.25,11.25,0,0,1.5,0,0,0.75,0,0,0,0,12,0,11.7,0.3,3,706.51,1664.84,17.14,12,12.93,33.5,25.71,17.95,2.37,47,"27:13"
2007,27,14,"CORDOBA",3.08,18.83,3.33,1.33,2.33,0,1.17,0,0,0.83,0,0.58,67.06,0.5,16.98,49.58,9,2202.03,3678.47,26.43,0,12.96,35.24,27.11,18.96,3.03,33,"27:14"
2007,27,15,"A CORUÑA",1,9,4,0,2,0,0,0,0,0,0,0,0.2,0.2,0,0,1,301.53,609.58,20.38,3.17,6.72,21.37,17.4,13.43,3.94,74,"27:15"
2007,27,16,"CUENCA",11,88,0,0,8,0,0,1,1,3,0,4,32.2,1.2,0,31,1,2601.06,5232.97,21.215,0,12.57,31.53,23.43,15.36,0.17,49,"27:16"
2007,27,17,"GIRONA",3,23,5,0,5,0,4,0,0,1,1,0,7.3,0.8,0.8,5.7,2,468.15,1223.63,15.26,1.97,9.09,26.75,19.29,11.8,2.46,49.5,"27:17"
2007,27,18,"GRANADA",9.25,34,6.25,5,3.75,0.25,0,0,0.25,1.75,1,2,19.96,18.6,0.86,0.5,3,2182.47,3556.39,25.46,0,12.9,33.19,25.73,18.36,2.63,41.5,"27:18"
2007,27,19,"GUADALAJARA",3,13,1,11,1,0,1,0,0,0,0,0.5,7.4,0,7.4,0,2,1176.44,2188.58,19.5,0.4,11.2,31.09,21.06,11.04,2.79,52,"27:19"
2007,27,21,"HUELVA",3.04,16.08,1.92,3.46,1.63,0,0.25,0.21,0,0.83,0,0.58,29.94,0.3,29.64,0,7,1503.96,4168.56,28.26,0,13.31,31.57,25.17,18.76,3.24,52,"27:21"
2007,27,22,"HUESCA",7.17,15,4,1.5,3.33,0,1.67,0.17,0.67,0,0,0.67,59.61,15.06,1.06,43.49,4,1710.16,3843.53,21.32,2.37,12.19,26.84,18.68,10.5,2.53,51,"27:22"
2007,27,23,"JAEN",5.78,28.05,3.5,0.28,1.3,0.05,0,1.18,0,0.65,0.6,0.93,104.27,2.4,96,5.87,10,1646.37,2900.99,21.51,0,13.6,34.5,27.19,20.18,1.77,41,"27:23"
2007,27,24,"LEON",2,16,0,0.5,1.5,0,0.5,0,0,0,0,0,15.41,1.48,0,13.93,2,1795.22,3691.95,23.29,1.03,11.79,23.72,16.64,9.56,3.59,54.5,"27:24"
