anho,semana,id_provincia,provincia,dir,prec,sol,tmax,tmed,tmin,velmedia,hrmedia
2002,1,1,ARABA/ALAVA,15.71,14.0,0.61,9.27,6.24,3.24,2.66,83.0
2002,1,2,ALBACETE,10.19,12.3,1.11,10.91,8.23,5.53,2.25,89.0
2002,1,3,ALICANTE,12.88,8.17,1.06,15.68,12.92,10.15,3.09,78.5
2002,1,4,ALMERIA,12.14,5.22,4.0,16.11,13.13,10.14,3.28,64.0
2002,1,5,AVILA,15.14,6.1,2.46,8.74,6.33,3.9,3.56,84.0
2002,1,6,BADAJOZ,10.45,26.72,2.31,13.94,10.34,6.73,2.96,83.0
2002,1,7,ILLES BALEARS,11.96,47.67,2.35,12.87,10.18,7.48,3.73,83.0
2002,1,8,BARCELONA,11.52,18.7,1.14,10.57,8.53,6.5,3.2,84.0
2002,1,9,BURGOS,17.14,19.55,1.71,7.55,4.86,2.17,2.94,89.0
2002,1,10,CACERES,12.26,30.6,3.49,12.76,9.59,6.4,3.59,79.0
2002,1,11,CADIZ,13.08,13.59,4.25,16.11,13.49,10.9,5.43,75.0
2002,1,12,CASTELLON,12.4,31.7,0.27,10.75,8.57,6.39,2.73,88.0
2002,1,13,CIUDAD REAL,15.43,15.4,3.26,12.29,8.56,4.83,1.5,83.0
2002,1,14,CORDOBA,13.05,17.31,4.59,14.23,10.35,6.48,2.81,78.0
2002,1,15,A CORUÑA,14.83,38.28,1.63,13.63,10.95,8.29,3.57,79.0
2002,1,16,CUENCA,13.57,10.2,0.79,8.7,6.09,3.49,1.39,84.0
2002,1,17,GIRONA,15.21,9.9,0.0,5.72,3.18,0.64,1.01,94.0
2002,1,18,GRANADA,15.57,12.66,4.11,13.54,9.38,5.21,2.22,78.0
2002,1,19,GUADALAJARA,16.38,17.3,1.01,9.18,6.09,3.0,1.26,84.0
2002,1,20,GIPUZKOA,15.67,4.63,3.09,12.88,9.56,6.23,4.49,66.0
2002,1,21,HUELVA,11.14,22.8,3.54,17.11,13.26,9.4,2.86,81.0
