"anho"|"semana"|"id_provincia"|"provincia"|"personal_tecnicos"|"personal_brigadas"|"personal_fuerzas_orden"|"personal_otros"|"medios_autobomba"|"medios_bulldozer"|"medios_tractores"|"medios_otros"|"aereos_aviones_anfibios"|"aereos_aviones_carga"|"aereos_helicopteros_exticion"|"aereos_helicopteros_transporte"|"total"|"totalar"|"totalnar"|"supernf"|"num_incendios"|"dist_1_nearest_buildup"|"dist_10_nearest_buildup"
2007|1|2|"ALBACETE"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|3|"ALICANTE"|2.0|15.0|0.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|0|1|227.19|1510.66
2007|1|4|"ALMERIA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|5|"AVILA"|2.0|0.0|1.0|2.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.93|0.0|0.93|0|2|1740.18|3886.97
2007|1|6|"BADAJOZ"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|8|"BARCELONA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|9|"BURGOS"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|10|"CACERES"|0.5|2.5|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.65|0.0|1.65|0|2|1337.89|3355.32
2007|1|11|"CADIZ"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|12|"CASTELLON"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|13|"CIUDAD REAL"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|14|"CORDOBA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|15|"A CORUÑA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|16|"CUENCA"|1.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.15|0.0|0.15|0|1|1567.11|4326.24
2007|1|17|"GIRONA"|2.0|10.0|2.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.27|0.0|0.27|0|1|806.29|1405.35
2007|1|18|"GRANADA"|0.5|0.0|1.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.54|0.0|1.54|0|2|345.62|1934.49
2007|1|19|"GUADALAJARA"|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.22|0.0|0.22|0|1|317.29|1289.84
2007|1|21|"HUELVA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|22|"HUESCA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
2007|1|23|"JAEN"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
