"anho","semana","idprovincia","Incendios","Observed","Predicted","Dicot1","Dicot2","Dicot3","Dicot4"
"2015","27","2",3,6.18,24.5142762317237,0,0,0,0
"2015","27","3",0,0,0,0,0,0,0
"2015","27","4",1,0.28,2.90948046174304,0,0,0,0
"2015","27","5",0,0,0,0,0,0,0
"2015","27","6",18,10.8283333333333,635.349756351924,1,1,1,1
"2015","27","8",9,4.45,87.4112455232593,0,0,0,0
"2015","27","9",3,4.02,7.72616581889603,0,0,0,0
"2015","27","10",8,11.31625,152.183810778363,0,1,1,1
"2015","27","11",0,0,0,0,0,0,0
"2015","27","12",0,0,0,0,0,0,0
"2015","27","13",5,57.722,234.153570744222,0,1,1,1
"2015","27","14",4,7.005,95.8753484634285,0,0,0,0
"2015","27","15",17,10.0511764705882,17.169538387902,0,0,0,0
"2015","27","16",1,4.2,18.0870143019099,0,0,0,0
"2015","27","17",0,0,0,0,0,0,0
"2015","27","18",5,3.336,62.3327563286337,0,0,0,0
"2015","27","19",4,10.155,208.532617255244,0,0,0,0
"2015","27","21",5,1.928,34.5785993272212,0,0,0,0
"2015","27","22",4,8.2075,30.0564453413951,0,0,0,0
"2015","27","23",5,2007.612,21.3723101311491,0,0,0,0
"2015","27","24",7,2.28285714285714,45.9981487207897,0,0,0,0
"2015","27","25",1,1.9,38.7331528385988,0,0,0,0
"2015","27","26",0,0,0,0,0,0,0
"2015","27","27",16,2.421875,31.161814074566,0,0,0,0
"2015","27","29",4,13.4725,30.861654529597,0,0,0,0
"2015","27","30",5,0.63,13.8014353197283,0,0,0,0
"2015","27","32",20,15.2795,86.2391834806323,0,0,0,1
"2015","27","33",13,3.84692307692308,35.6180014238461,0,0,0,0
"2015","27","34",2,63.965,4.92338877647503,0,0,0,0
"2015","27","36",10,0.636,9.09682204944106,0,0,0,0
"2015","27","37",5,3.588,55.4274791459313,0,0,0,0
"2015","27","40",4,0.52,71.3177715461735,0,0,0,0
"2015","27","41",5,73.536,44.0673070680878,0,0,0,0
"2015","27","42",1,0.13,4.88193087330943,0,0,0,0
"2015","27","43",2,6.65,18.6656678374413,0,0,0,0
"2015","27","44",0,0,0,0,0,0,0
"2015","27","45",18,17.7644444444444,286.728056409676,1,1,1,1
"2015","27","46",2,0.75,2.66895109350887,0,0,0,0
"2015","27","47",6,1.73833333333333,47.9513418851495,0,0,0,0
"2015","27","49",3,0.706666666666667,13.396847268491,0,0,0,0
"2015","27","50",4,3476.4975,154.12175744785,0,0,0,0
"2015","28","2",3,8.74333333333333,8.93421062607167,0,0,0,0
"2015","28","3",2,0.225,57.669412927659,0,0,0,0
"2015","28","4",3,0.226666666666667,26.321036432344,0,0,0,0
"2015","28","5",2,0.7,27.773042899791,0,0,0,0
"2015","28","6",14,12.5421428571429,304.911832431612,1,1,1,1
"2015","28","8",3,2.01,15.6651631311371,0,0,0,0
"2015","28","9",6,5.27,34.2941393307031,0,0,0,0
"2015","28","10",12,151.2375,323.486088914747,0,1,1,1
"2015","28","11",0,0,0,0,0,0,0
"2015","28","12",2,209.69,4.24341575011204,0,0,0,0
"2015","28","13",4,9.5725,77.9269819083877,0,0,0,1
"2015","28","14",2,3.62,9.75508424730241,0,0,0,0
"2015","28","15",27,0.513333333333333,74.392332259526,0,1,1,1
"2015","28","16",4,80.005,58.9324809975942,0,0,0,0
"2015","28","17",0,0,0,0,0,0,0
"2015","28","18",3,665.65,30.2755563936345,0,0,0,0
"2015","28","19",4,258.4,57.6514592539407,0,0,0,0
